date,structure,iv_env,trend,S,S_T,details,pnl,max_risk,win,flags
2025-12-22,Iron Condor,High,Range-bound,618.43,618.65,SELL 606P/BUY 604P + SELL 633C/BUY 635C  (credit $0.72),0.7159,1.2841,True,max profit
2026-01-07,Call Debit Spread,Low,Uptrend,623.23,618.77,"BUY 625C / SELL 635C  (debit $3.07, width $10)",-3.0743,3.0743,False,max loss
2026-01-29,Call Debit Spread,Low,Uptrend,628.64,596.28,"BUY 630C / SELL 640C  (debit $3.15, width $10)",-3.1489,3.1489,False,max loss
2026-02-12,Put Debit Spread,Low,Downtrend,599.88,608.04,"BUY 600P / SELL 588P  (debit $3.94, width $12)",-3.94,3.94,False,max loss
2026-02-20,Put Debit Spread,Low,Downtrend,608.04,606.53,"BUY 608P / SELL 596P  (debit $3.90, width $12)",-2.425,3.8998,False,-
2026-02-27,Iron Condor,High,Range-bound,606.53,598.99,SELL 595P/BUY 593P + SELL 620C/BUY 622C  (credit $0.72),0.7199,1.2801,True,max profit
2026-03-06,Call Credit Spread,High,Downtrend,598.99,592.97,SELL 612C / BUY 614C  (credit $0.34),0.3449,1.6551,True,max profit
2026-03-13,Call Credit Spread,High,Downtrend,592.97,581.33,SELL 606C / BUY 608C  (credit $0.36),0.3578,1.6422,True,max profit
2026-03-20,Call Credit Spread,High,Downtrend,581.33,562.58,SELL 594C / BUY 596C  (credit $0.35),0.3503,1.6497,True,max profit
2026-03-27,Call Credit Spread,High,Downtrend,562.58,588.5,SELL 575C / BUY 577C  (credit $0.35),-1.648,1.648,False,max loss
2026-04-06,Iron Condor,High,Range-bound,588.5,617.39,SELL 575P/BUY 573P + SELL 604C/BUY 606C  (credit $0.72),-1.281,1.281,False,max loss
2026-04-13,Iron Condor,High,Range-bound,617.39,646.79,SELL 603P/BUY 601P + SELL 634C/BUY 636C  (credit $0.74),-1.2568,1.2568,False,max loss
2026-04-20,Iron Condor,High,Range-bound,646.79,664.23,SELL 632P/BUY 630P + SELL 664C/BUY 666C  (credit $0.75),0.5246,1.2454,True,-
2026-04-27,Put Credit Spread,High,Uptrend,664.23,672.88,SELL 649P / BUY 647P  (credit $0.39),0.3922,1.6078,True,max profit
2026-05-04,Put Credit Spread,High,Uptrend,672.88,713.29,SELL 658P / BUY 656P  (credit $0.38),0.3752,1.6248,True,max profit
2026-05-11,Put Credit Spread,High,Uptrend,713.29,705.88,SELL 700P / BUY 698P  (credit $0.38),0.3756,1.6244,True,max profit
2026-05-18,Put Credit Spread,High,Uptrend,705.88,730.28,SELL 693P / BUY 691P  (credit $0.38),0.3771,1.6229,True,max profit
2026-05-26,Call Debit Spread,Low,Uptrend,730.28,746.16,"BUY 732C / SELL 747C  (debit $4.58, width $15)",9.5796,4.5804,True,-
2026-06-02,Call Debit Spread,Low,Uptrend,746.16,707.83,"BUY 748C / SELL 762C  (debit $4.30, width $14)",-4.3045,4.3045,False,max loss
