All Transactions Activity Types

Account Activity for Individual Brokerage -4702 from 2024-07-17 to 2026-07-17

Total:,-1815.91

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
06/25/26,06/25/26,06/26/26,Bought To Open,CALL INTC   07/02/26   133.000,INTC,--,1.0,5.52,-552.51,0.51,--,--
06/25/26,06/25/26,06/26/26,Bought To Cover,CALL INTC   06/26/26   135.000,INTC,--,1.0,1.66,-166.51,0.51,--,--
06/25/26,06/25/26,06/26/26,Sold To Close,CALL INTC   06/26/26   133.000,INTC,--,-1.0,2.27,226.48,0.52,--,--
06/24/26,06/24/26,06/25/26,Bought To Cover,CALL ARQQ   07/17/26    30.000,ARQQ,--,1.0,3.9,-390.51,0.51,--,--
06/24/26,06/24/26,06/25/26,Sold To Close,CALL ARQQ   07/17/26    25.000,ARQQ,--,-1.0,6.15,614.47,0.53,--,--
06/23/26,06/23/26,06/24/26,Sold Short,CALL INTC   06/26/26   135.000,INTC,--,-1.0,4.53,452.48,0.52,--,--
06/23/26,06/23/26,06/24/26,Bought To Open,CALL INTC   06/26/26   133.000,INTC,--,1.0,5.43,-543.51,0.51,--,--
06/23/26,06/23/26,06/24/26,Sold Short,CALL INTC   07/10/26   155.000,INTC,--,-1.0,2.83,282.48,0.52,--,--
06/23/26,06/23/26,06/24/26,Bought To Open,CALL INTC   07/10/26   145.000,INTC,--,1.0,5.33,-533.51,0.51,--,--
06/23/26,06/23/26,06/22/26,Option Expired,CALL SPY    06/22/26   766.000,SPY,--,1.0,,0.0,0.0,--,--
06/23/26,06/23/26,06/22/26,Option Expired,CALL SPY    06/22/26   758.000,SPY,--,-1.0,,0.0,0.0,--,--
06/22/26,06/22/26,06/23/26,Sold Short,PUT  BTC    07/17/26    25.000,BTC,--,-1.0,0.31,30.48,0.52,--,--
06/22/26,06/22/26,06/23/26,Bought To Open,PUT  BTC    07/17/26    28.000,BTC,--,1.0,1.01,-101.51,0.51,--,--
06/22/26,06/22/26,06/23/26,Bought To Open,CALL ARQQ   07/17/26    25.000,ARQQ,--,1.0,2.07,-207.51,0.51,--,--
06/22/26,06/22/26,06/23/26,Sold Short,CALL ARQQ   07/17/26    30.000,ARQQ,--,-1.0,1.17,116.48,0.52,--,--
06/22/26,06/22/26,06/23/26,Sold To Close,PUT  SPY    06/22/26   750.000,SPY,--,-1.0,6.6,659.47,0.53,--,--
06/18/26,06/18/26,06/22/26,Bought To Open,PUT  SPY    06/22/26   750.000,SPY,--,1.0,4.32,-432.51,0.51,--,--
06/18/26,06/18/26,06/22/26,Sold To Close,CALL SPOT   06/18/26   500.000,SPOT,--,-1.0,0.16,15.48,0.52,--,--
06/18/26,06/18/26,06/22/26,Bought To Cover,CALL SPOT   06/18/26   497.500,SPOT,--,1.0,0.47,-47.51,0.51,--,--
06/18/26,06/18/26,06/22/26,Bought To Cover,PUT  SPOT   06/18/26   462.500,SPOT,--,1.0,0.3,-30.51,0.51,--,--
06/18/26,06/18/26,06/22/26,Sold To Close,PUT  SPOT   06/18/26   460.000,SPOT,--,-1.0,0.56,55.48,0.52,--,--
06/18/26,06/18/26,06/22/26,Sold To Close,PUT  INTC   06/18/26   122.000,INTC,--,-2.0,0.09,16.95,1.04,--,--
06/18/26,06/18/26,06/22/26,Bought To Cover,PUT  INTC   06/18/26   123.000,INTC,--,2.0,0.12,-25.03,1.03,--,--
06/16/26,06/16/26,06/17/26,Sold Short,CALL AI     07/02/26    13.500,AI,--,-1.0,0.09,8.48,0.52,--,--
06/16/26,06/16/26,06/17/26,Bought To Open,CALL AI     07/02/26    10.500,AI,--,1.0,0.75,-75.51,0.51,--,--
06/16/26,06/16/26,06/17/26,Sold Short,PUT  INTC   06/18/26   123.000,INTC,--,-2.0,3.12,622.94,1.05,--,--
06/16/26,06/16/26,06/17/26,Bought To Open,PUT  INTC   06/18/26   122.000,INTC,--,2.0,2.7,-541.03,1.03,--,--
06/16/26,06/16/26,06/17/26,Sold To Close,CALL KEEL   06/18/26     5.000,KEEL,--,-1.0,1.0,99.48,0.52,--,--
06/15/26,06/15/26,06/16/26,Sold Short,PUT  SPOT   06/18/26   462.500,SPOT,--,-1.0,2.66,265.48,0.52,--,--
06/15/26,06/15/26,06/16/26,Sold Short,CALL SPOT   06/18/26   497.500,SPOT,--,-1.0,3.07,306.48,0.52,--,--
06/15/26,06/15/26,06/16/26,Bought To Open,CALL SPOT   06/18/26   500.000,SPOT,--,1.0,2.7,-270.51,0.51,--,--
06/15/26,06/15/26,06/16/26,Bought To Open,PUT  SPOT   06/18/26   460.000,SPOT,--,1.0,2.29,-229.51,0.51,--,--
06/15/26,06/15/26,06/16/26,Bought To Open,CALL SPY    06/22/26   758.000,SPY,--,1.0,2.99,-299.51,0.51,--,--
06/15/26,06/15/26,06/16/26,Sold Short,CALL SPY    06/22/26   766.000,SPY,--,-1.0,0.79,78.48,0.52,--,--
06/15/26,06/15/26,06/12/26,Option Expired,PUT  ULTA   06/12/26   455.000,ULTA,--,1.0,,0.0,0.0,--,--
06/15/26,06/15/26,06/12/26,Option Expired,PUT  ULTA   06/12/26   452.500,ULTA,--,-1.0,,0.0,0.0,--,--
06/15/26,06/15/26,06/12/26,Option Expired,CALL ULTA   06/12/26   480.000,ULTA,--,1.0,,0.0,0.0,--,--
06/15/26,06/15/26,06/12/26,Option Expired,CALL ULTA   06/12/26   482.500,ULTA,--,-1.0,,0.0,0.0,--,--
06/12/26,06/12/26,06/15/26,Sold To Close,PUT  SPOT   06/12/26   475.000,SPOT,--,-1.0,0.68,67.48,0.52,--,--
06/12/26,06/12/26,06/15/26,Sold To Close,CALL SPOT   06/12/26   515.000,SPOT,--,-1.0,0.32,31.48,0.52,--,--
06/12/26,06/12/26,06/15/26,Bought To Cover,CALL SPOT   06/12/26   510.000,SPOT,--,1.0,0.2,-20.51,0.51,--,--
06/12/26,06/12/26,06/15/26,Bought To Cover,PUT  SPOT   06/12/26   480.000,SPOT,--,1.0,1.62,-162.51,0.51,--,--
06/12/26,06/12/26,06/15/26,Sold Short,CALL SPOT   06/12/26   510.000,SPOT,--,-1.0,0.62,61.48,0.52,--,--
06/12/26,06/12/26,06/15/26,Bought To Open,PUT  SPOT   06/12/26   475.000,SPOT,--,1.0,2.4,-240.51,0.51,--,--
06/12/26,06/12/26,06/15/26,Sold Short,PUT  SPOT   06/12/26   480.000,SPOT,--,-1.0,4.55,454.48,0.52,--,--
06/12/26,06/12/26,06/15/26,Bought To Open,CALL SPOT   06/12/26   515.000,SPOT,--,1.0,0.67,-67.51,0.51,--,--
06/11/26,06/11/26,06/11/26,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.006,402.861,-2.41,0.0,--,--
06/11/26,06/11/26,06/11/26,Qualified Dividend,MICROSOFT CORP REC 06/11/26 PAY 06/11/26 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,2.79,0.0,--,--
06/11/26,06/11/26,06/12/26,Sold Short,PUT  ULTA   06/12/26   455.000,ULTA,--,-1.0,1.01,100.48,0.52,--,--
06/11/26,06/11/26,06/12/26,Bought To Open,CALL ULTA   06/12/26   482.500,ULTA,--,1.0,2.19,-219.51,0.51,--,--
06/11/26,06/11/26,06/12/26,Sold Short,CALL ULTA   06/12/26   480.000,ULTA,--,-1.0,3.21,320.48,0.52,--,--
06/11/26,06/11/26,06/12/26,Bought To Open,PUT  ULTA   06/12/26   452.500,ULTA,--,1.0,0.98,-98.51,0.51,--,--
06/08/26,06/08/26,06/05/26,Option Expired,CALL SPOT   06/05/26   520.000,SPOT,--,1.0,,0.0,0.0,--,--
06/08/26,06/08/26,06/05/26,Option Expired,CALL SPOT   06/05/26   525.000,SPOT,--,-1.0,,0.0,0.0,--,--
06/08/26,06/08/26,06/05/26,Option Expired,PUT  SPOT   06/05/26   480.000,SPOT,--,1.0,,0.0,0.0,--,--
06/08/26,06/08/26,06/05/26,Option Expired,PUT  SPOT   06/05/26   475.000,SPOT,--,-1.0,,0.0,0.0,--,--
06/05/26,06/05/26,06/08/26,Bought,PROSHARES ULTRAPRO QQQ UNSOLICITED TRADE,TQQQ,--,4.0,73.5,-294.0,0.0,--,--
06/03/26,06/03/26,06/04/26,Bought To Open,CALL SPOT   06/05/26   525.000,SPOT,--,1.0,0.61,-61.51,0.51,--,--
06/03/26,06/03/26,06/04/26,Sold Short,CALL SPOT   06/05/26   520.000,SPOT,--,-1.0,1.12,111.48,0.52,--,--
06/03/26,06/03/26,06/04/26,Sold Short,PUT  SPOT   06/05/26   480.000,SPOT,--,-1.0,5.57,556.47,0.53,--,--
06/03/26,06/03/26,06/04/26,Bought To Open,PUT  SPOT   06/05/26   475.000,SPOT,--,1.0,3.98,-398.51,0.51,--,--
06/02/26,06/02/26,06/03/26,Bought,SOFI TECHNOLOGIES INC UNSOLICITED TRADE,SOFI,--,21.0,17.74,-372.54,0.0,--,--
06/02/26,06/02/26,06/03/26,Sold,CLOVER HEALTH INVESTMENTS CL A UNSOLICITED TRADE,CLOV,--,-100.0,3.84,383.97,0.01,--,--
05/29/26,05/29/26,05/29/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-3.0,0.0,--,--
05/29/26,05/29/26,05/29/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,3.0,0.0,--,--
05/29/26,05/29/26,05/29/26,Margin Interest,Thru 05/31/26 for 31 days,--,--,,,-36.58,0.0,--,--
05/29/26,05/29/26,05/29/26,Service Fee,April 2026 Mkt Data Fee,--,--,,,-3.0,0.0,--,--
05/18/26,05/18/26,05/15/26,Option Expired,CALL RZLV   05/15/26    10.000,RZLV,--,-1.0,,0.0,0.0,--,--
05/18/26,05/18/26,05/15/26,Option Expired,CALL VERI   05/15/26    12.500,VERI,--,-1.0,,0.0,0.0,--,--
04/30/26,04/30/26,04/30/26,Margin Interest,Thru 04/30/26 for 30 days,--,--,,,-34.82,0.0,--,--
04/29/26,04/29/26,04/29/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-3.0,0.0,--,--
04/29/26,04/29/26,04/29/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,3.0,0.0,--,--
04/29/26,04/29/26,04/29/26,Service Fee,March 2026 Mkt Data Fee,--,--,,,-3.0,0.0,--,--
04/01/26,04/01/26,04/01/26,Qualified Dividend,NVIDIA CORPORATION REC 04/02/26 PAY 04/02/26 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.15,0.0,--,--
03/31/26,03/31/26,03/31/26,Margin Interest,Thru 03/31/26 for 31 days,--,--,,,-35.65,0.0,--,--
03/12/26,03/12/26,03/12/26,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.006,404.228,-2.42,0.0,--,--
03/12/26,03/12/26,03/12/26,Qualified Dividend,MICROSOFT CORP REC 03/12/26 PAY 03/12/26 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,2.78,0.0,--,--
02/27/26,02/27/26,02/27/26,Margin Interest,Thru 02/28/26 for 28 days,--,--,,,-43.77,0.0,--,--
02/09/26,02/09/26,02/09/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-50.0,0.0,--,--
02/09/26,02/09/26,02/09/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,50.0,0.0,--,--
02/05/26,02/05/26,02/06/26,Sold,SOFI TECHNOLOGIES INC UNSOLICITED TRADE,SOFI,--,-73.0,19.895,1452.33,0.0,--,--
02/05/26,02/05/26,02/06/26,Sold,SPOTIFY TECHNOLOGY SA UNSOLICITED TRADE,SPOT,--,-10.0,417.02,4145.2,25.0,--,--
02/05/26,02/05/26,02/05/26,Service Fee,MARGIN LIQUIDATION,--,--,,,-25.0,0.0,--,--
02/05/26,02/05/26,02/05/26,Service Fee,MARGIN LIQUIDATION,--,--,,,-25.0,0.0,--,--
02/04/26,02/04/26,02/05/26,Sold To Close,CALL BBAI   01/15/27    17.000,BBAI,--,-1.0,0.35,34.49,0.51,--,--
02/04/26,02/04/26,02/05/26,Sold,SPOTIFY TECHNOLOGY SA UNSOLICITED TRADE,SPOT,--,-4.0,451.4,1805.6,0.0,--,--
01/30/26,01/30/26,01/30/26,Margin Interest,Thru 01/31/26 for 31 days,--,--,,,-108.64,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,CALL RANI   01/16/26     2.500,RANI,--,-1.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,CALL LCID1  01/16/26     4.000,LCID,--,-2.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,CALL SERV   01/16/26    20.000,SERV,--,-1.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,PUT  RIOT   01/16/26    12.000,RIOT,--,-1.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,CALL BBAI   01/16/26    15.000,BBAI,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/13/26,Sold,PALANTIR TECHNOLOGIES INC CL A UNSOLICITED TRADE,PLTR,--,-2.0,179.02,358.04,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Expired,PUT  COST   01/09/26   850.000,COST,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Expired,PUT  ULTA   01/09/26   615.000,ULTA,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Expired,PUT  COST   01/09/26   855.000,COST,--,1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Exercised,CALL ULTA   01/09/26   660.000,ULTA,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Exercised,CALL COST   01/09/26   895.000,COST,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Assigned,CALL ULTA   01/09/26   655.000,ULTA,--,1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Expired,CALL NFLX   01/09/26    91.000,NFLX,--,-1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Expired,PUT  ULTA   01/09/26   620.000,ULTA,--,1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/12/26,Sold,COSTCO WHOLESALE CORP NEW,COST,--,-100.0,890.0,88999.98,0.0,--,--
01/12/26,01/12/26,01/12/26,Sold,ULTA BEAUTY INC,ULTA,--,-100.0,655.0,65499.98,0.0,--,--
01/12/26,01/12/26,01/09/26,Option Assigned,CALL COST   01/09/26   890.000,COST,--,1.0,,0.0,0.0,--,--
01/12/26,01/12/26,01/12/26,Bought,COSTCO WHOLESALE CORP NEW,COST,--,100.0,895.0,-89500.0,0.0,--,--
01/12/26,01/12/26,01/12/26,Bought,ULTA BEAUTY INC,ULTA,--,100.0,660.0,-66000.0,0.0,--,--
01/09/26,01/09/26,01/12/26,Sold To Close,PUT  SPOT   01/09/26   565.000,SPOT,--,-1.0,26.92,2691.49,0.51,--,--
01/09/26,01/09/26,01/12/26,Bought To Cover,PUT  SPOT   01/09/26   570.000,SPOT,--,1.0,31.13,-3113.51,0.51,--,--
01/09/26,01/09/26,01/12/26,Bought To Cover,CALL SPOT   01/09/26   610.000,SPOT,--,1.0,0.85,-85.51,0.51,--,--
01/09/26,01/09/26,01/12/26,Sold To Close,CALL SPOT   01/09/26   615.000,SPOT,--,-1.0,0.06,5.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,CALL ULTA   01/09/26   655.000,ULTA,--,-1.0,6.24,623.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,PUT  ULTA   01/09/26   615.000,ULTA,--,1.0,0.75,-75.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,PUT  ULTA   01/09/26   620.000,ULTA,--,-1.0,0.75,74.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,CALL ULTA   01/09/26   660.000,ULTA,--,1.0,4.04,-404.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,CALL COST   01/09/26   890.000,COST,--,-1.0,7.66,765.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,CALL COST   01/09/26   895.000,COST,--,1.0,5.51,-551.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,PUT  COST   01/09/26   850.000,COST,--,1.0,0.64,-64.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,PUT  COST   01/09/26   855.000,COST,--,-1.0,0.89,88.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,CALL SPOT   01/09/26   615.000,SPOT,--,1.0,1.11,-111.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,PUT  SPOT   01/09/26   570.000,SPOT,--,-1.0,6.38,637.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought To Open,PUT  SPOT   01/09/26   565.000,SPOT,--,1.0,4.08,-408.51,0.51,--,--
01/06/26,01/06/26,01/07/26,Sold Short,CALL SPOT   01/09/26   610.000,SPOT,--,-1.0,1.01,100.49,0.51,--,--
01/05/26,01/05/26,01/06/26,Bought To Open,CALL NFLX   01/09/26    91.000,NFLX,--,1.0,1.55,-155.51,0.51,--,--
12/31/25,12/31/25,12/31/25,Margin Interest,Thru 12/31/25 for 31 days,--,--,,,-81.88,0.0,--,--
12/26/25,12/26/25,12/26/25,Qualified Dividend,NVIDIA CORPORATION REC 12/26/25 PAY 12/26/25 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.15,0.0,--,--
12/23/25,12/23/25,12/23/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-24.96,0.0,--,--
12/23/25,12/23/25,12/23/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,24.96,0.0,--,--
12/22/25,12/22/25,12/22/25,Adjustment,CASH ADJUSTMENT FEE ADJUSTMENT,--,--,,,0.04,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Exercised,CALL META   12/19/25   655.000,META,--,-1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL SOFI   12/19/25    30.000,SOFI,--,1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL RANI   12/19/25     2.500,RANI,--,-1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL META   12/19/25   660.000,META,--,1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL RANI   12/19/25     7.500,RANI,--,-1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL BMNR   12/19/25    50.000,BMNR,--,-1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Expired,CALL NOK    12/19/25     9.000,NOK,--,-1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/22/25,Bought,META PLATFORMS INC CL A,META,--,100.0,655.0,-65500.0,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,META PLATFORMS INC CL A UNSOLICITED TRADE,META,--,-1.0,660.1,635.1,25.0,--,--
12/19/25,12/19/25,12/22/25,Sold,META PLATFORMS INC CL A UNSOLICITED TRADE,META,--,-99.0,660.07,65346.91,0.0,--,--
12/19/25,12/19/25,12/19/25,Service Fee,MARGIN LIQUIDATION,--,--,,,-25.0,0.0,--,--
12/15/25,12/15/25,12/15/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-25.0,0.0,--,--
12/15/25,12/15/25,12/15/25,Transfer,TRNSFR MARGIN TO CASH,--,--,,,25.0,0.0,--,--
12/15/25,12/15/25,12/16/25,Sold,SPOTIFY TECHNOLOGY SA UNSOLICITED TRADE,SPOT,--,-86.0,591.61,50853.45,25.0,--,--
12/15/25,12/15/25,12/15/25,Service Fee,MARGIN LIQUIDATION,--,--,,,-25.0,0.0,--,--
12/15/25,12/15/25,12/12/25,Option Expired,PUT  SPOT   12/12/25   595.000,SPOT,--,-1.0,,0.0,0.0,--,--
12/15/25,12/15/25,12/12/25,Option Assigned,PUT  SPOT   12/12/25   600.000,SPOT,--,1.0,,0.0,0.0,--,--
12/15/25,12/15/25,12/12/25,Option Expired,CALL SPOT   12/12/25   635.000,SPOT,--,-1.0,,0.0,0.0,--,--
12/15/25,12/15/25,12/12/25,Option Expired,CALL SPOT   12/12/25   630.000,SPOT,--,1.0,,0.0,0.0,--,--
12/15/25,12/15/25,12/15/25,Bought,SPOTIFY TECHNOLOGY SA,SPOT,--,100.0,600.0,-60000.0,0.0,--,--
12/11/25,12/11/25,12/11/25,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.005,479.477,-2.39,0.0,--,--
12/11/25,12/11/25,12/11/25,Qualified Dividend,MICROSOFT CORP REC 12/11/25 PAY 12/11/25 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,2.78,0.0,--,--
12/11/25,12/11/25,12/12/25,Bought To Open,PUT  SPOT   12/12/25   595.000,SPOT,--,1.0,2.42,-242.51,0.51,--,--
12/11/25,12/11/25,12/12/25,Sold Short,CALL SPOT   12/12/25   630.000,SPOT,--,-1.0,0.59,58.49,0.51,--,--
12/11/25,12/11/25,12/12/25,Sold Short,PUT  SPOT   12/12/25   600.000,SPOT,--,-1.0,4.23,422.49,0.51,--,--
12/11/25,12/11/25,12/12/25,Bought To Open,CALL SPOT   12/12/25   635.000,SPOT,--,1.0,0.3,-30.51,0.51,--,--
12/11/25,12/11/25,12/12/25,Bought To Cover,CALL SPOT   12/12/25   592.500,SPOT,--,1.0,27.17,-2717.51,0.51,--,--
12/11/25,12/11/25,12/12/25,Sold To Close,CALL SPOT   12/12/25   582.500,SPOT,--,-1.0,35.52,3551.49,0.51,--,--
12/10/25,12/10/25,12/10/25,Adjustment,MARKED TO MARKET,--,--,,,168.0,0.0,--,--
12/10/25,12/10/25,12/10/25,Adjustment,MARKED TO MARKET,--,--,,,-168.0,0.0,--,--
12/10/25,12/10/25,12/10/25,Qualified Dividend,INTL BUSINESS MACHINES CORP REC 12/10/25 PAY 12/10/25 RATE 0.00000000 QTY 0.00000000,IBM,--,,,-168.0,0.0,--,--
12/10/25,12/10/25,12/11/25,Bought To Cover,PUT  IBM    12/19/25   285.000,IBM,--,1.0,0.41,-41.51,0.51,--,--
12/10/25,12/10/25,12/11/25,Sold To Close,PUT  IBM    12/19/25   255.000,IBM,--,-1.0,0.16,15.49,0.51,--,--
12/08/25,12/08/25,12/05/25,Option Assigned,CALL ULTA   12/05/25   580.000,ULTA,--,1.0,,0.0,0.0,--,--
12/08/25,12/08/25,12/05/25,Option Expired,PUT  ULTA   12/05/25   505.000,ULTA,--,-1.0,,0.0,0.0,--,--
12/08/25,12/08/25,12/05/25,Option Expired,PUT  ULTA   12/05/25   510.000,ULTA,--,1.0,,0.0,0.0,--,--
12/08/25,12/08/25,12/05/25,Option Exercised,CALL ULTA   12/05/25   585.000,ULTA,--,-1.0,,0.0,0.0,--,--
12/08/25,12/08/25,12/08/25,Bought,ULTA BEAUTY INC,ULTA,--,100.0,585.0,-58500.0,0.0,--,--
12/08/25,12/08/25,12/08/25,Sold,ULTA BEAUTY INC,ULTA,--,-100.0,580.0,57999.98,0.0,--,--
12/05/25,12/05/25,12/08/25,Bought To Open,CALL SPOT   12/12/25   582.500,SPOT,--,1.0,4.19,-419.51,0.51,--,--
12/05/25,12/05/25,12/08/25,Sold To Close,CALL SPOT   12/05/25   582.500,SPOT,--,-1.0,0.07,6.49,0.51,--,--
12/05/25,12/05/25,12/08/25,Bought To Cover,CALL SPOT   12/05/25   592.500,SPOT,--,1.0,0.13,-13.51,0.51,--,--
12/05/25,12/05/25,12/08/25,Sold Short,CALL SPOT   12/12/25   592.500,SPOT,--,-1.0,2.5,249.49,0.51,--,--
